;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
6595;BG23022;43.0811;23.5713;ZVERINO;BG23022;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
6600;BG23027;43.1315;23.7041;MEZDRA YUG;BG23027;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
8108;BG23900;42.7418;23.3171;RP POST 4;BG23900;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6953;BG24000;43.1398;25.682;GORNA ORJAHOVICA;BG24000;Bulgaria;2016-10-26 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6970;BG24003;43.1608;25.883;DZHULJUNICA;BG24003;Bulgaria;2016-10-26 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6973;BG24005;43.2171;25.9548;STRAZHITSA;BG24005;Bulgaria;2016-10-26 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6990;BG24012;43.2937;26.1716;SLAVJANOVO;BG24012;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6997;BG24014;43.3328;26.233;POPOVO;BG24014;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7004;BG24020;43.3317;26.4341;DRALFA;BG24020;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7009;BG24024;43.2635;26.578;TARGOVISHTE;BG24024;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7017;BG24027;43.2453;26.7592;NADAREVO;BG24027;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7018;BG24029;43.2037;26.8907;HAN KRUM;BG24029;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7022;BG24030;43.2714;26.9435;SHUMEN;BG24030;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7026;BG24031;43.283;27.0249;MATNITSA;BG24031;Bulgaria;2016-10-31 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
5693;BG24604;43.0762;27.0294;SMYADOVO;BG24604;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6980;BG24901;43.1417;25.6577;GORNA ORJAHOVICA - RAZPREDELITELNA;BG24901;Bulgaria;2016-10-26 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6610;BG26001;42.7265;23.3165;SOFIA SEVER;BG26001;Bulgaria;2014-01-01 00:00:00+01:00;2020-12-10 00:00:00+01:00;Invalid
6625;BG27000;43.1421;23.7149;MEZDRA;BG27000;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
7923;BG27005;43.1545;23.9214;ROMAN;BG27005;Bulgaria;2016-06-17 00:00:00+02:00;2020-12-10 00:00:00+01:00;Invalid
