;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
4921;CH15472;47.4478;9.658;St. Margrethen Landesgrenze;CH15472;CH;2019-12-05 23:00:00+00:00;;Valid
3290;CH15644;46.9471;7.4106;Bern Steigerhubel (Abzw);CH15644;CH;2019-12-05 23:00:00+00:00;;Valid
42775;CH16282;46.1859;6.1249;Lancy-Pont-Rouge (CEVA);CH16282;CH;2014-09-02 22:00:00+00:00;;Valid
4124;CH16355;45.8385;8.913;Gaggiolo Confine;CH16355;CH;2017-12-09 23:00:00+00:00;;Valid
4741;CH18875;47.5224;8.7725;Oberwinterthur SA Pünten;CH18875;CH;2019-12-05 23:00:00+00:00;;Valid
8881;CZ33093;49.62881;17.27977;AHr Hlusovice;CZ33093;CZ;2019-04-30 22:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
5831;CZ50015;50.66465;13.82137;hi vl. v km 34,855;CZ50015;CZ;2012-06-09 22:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
6163;CZ53547;50.40042;13.26872;vl. v km 30,358;CZ53547;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7886;CZ53853;49.99746;16.33251;Bezpravi z;CZ53853;CZ;2012-06-09 22:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
8260;CZ54020;50.28448;16.12151;Dobruska-Pulice z;CZ54020;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7274;CZ54348;50.3374;14.37867;vl. v km 1,710;CZ54348;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
6267;CZ54463;50.66402;13.82121;vl. v km 34,855;CZ54463;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7589;CZ54627;50.2393;14.5462;vl. v km 11,403;CZ54627;CZ;2014-12-13 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7806;CZ55080;50.73152;15.19043;vl. v km 16,336;CZ55080;CZ;2012-06-09 22:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7397;CZ56019;50.76672;14.21458;Decin-Stare Mesto z;CZ56019;CZ;2012-06-09 22:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7391;CZ56039;50.75714;14.2041;Kresice u Decina z;CZ56039;CZ;2012-06-09 22:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
6940;CZ56067;49.7929;14.97234;vl. v km 11,842;CZ56067;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
5768;CZ56137;49.74659;15.08816;vl. v km 11,583;CZ56137;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
5767;CZ56138;49.74105;15.08659;Vlecka Sazavan;CZ56138;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7516;CZ56629;50.99034;14.47512;Sluknov udoli z;CZ56629;CZ;2012-06-09 22:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
6237;CZ57142;50.5786;13.7868;km 30,500 +0,042;CZ57142;CZ;2020-12-12 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
7419;CZ57317;50.1095;14.54896;AHr Km 9,932;CZ57317;CZ;2012-12-08 23:00:00+00:00;2050-12-30 23:00:00+00:00;Valid
